run,type,module,name,attrname,attrvalue,value
General-29-20200127-16:43:00-12188,runattr,,,network,CellularNetwork,
General-29-20200127-16:43:00-12188,runattr,,,processid,12188,
General-29-20200127-16:43:00-12188,runattr,,,repetition,29,
General-29-20200127-16:43:00-12188,runattr,,,replication,#29,
General-29-20200127-16:43:00-12188,runattr,,,resultdir,results,
General-29-20200127-16:43:00-12188,runattr,,,runnumber,29,
General-29-20200127-16:43:00-12188,runattr,,,seedset,29,
General-29-20200127-16:43:00-12188,param,,,**.nUsers,10,
General-29-20200127-16:43:00-12188,param,,,**.antenna.timeslot,1ms,
General-29-20200127-16:43:00-12188,param,,,**.antenna.lambda,2ms,
General-29-20200127-16:43:00-12188,param,,,**.antenna.successProbGroup1,0.2,
General-29-20200127-16:43:00-12188,param,,,**.antenna.successProbGroup2,0.5,
General-29-20200127-16:43:00-12188,param,,,**.antenna.successProbGroup3,0.9,
General-29-20200127-16:43:00-12188,param,,,**.antenna.isBinomial,true,
General-3-20200127-16:40:21-22716,runattr,,,configname,General,
General-3-20200127-16:40:21-22716,runattr,,,datetime,20200127-16:40:21,
General-3-20200127-16:40:21-22716,runattr,,,experiment,General,
General-3-20200127-16:40:21-22716,runattr,,,inifile,omnetpp.ini,
General-3-20200127-16:40:21-22716,runattr,,,iterationvars,,
General-3-20200127-16:40:21-22716,runattr,,,iterationvarsf,,
General-3-20200127-16:40:21-22716,runattr,,,measurement,,
General-3-20200127-16:40:21-22716,runattr,,,network,CellularNetwork,
General-3-20200127-16:40:21-22716,runattr,,,processid,22716,
General-3-20200127-16:40:21-22716,runattr,,,repetition,3,
General-3-20200127-16:40:21-22716,runattr,,,replication,#3,
General-3-20200127-16:40:21-22716,runattr,,,resultdir,results,
General-3-20200127-16:40:21-22716,runattr,,,runnumber,3,
General-3-20200127-16:40:21-22716,runattr,,,seedset,3,
General-3-20200127-16:40:21-22716,param,,,**.nUsers,10,
