run,type,module,name,attrname,attrvalue,value
General-43-20200224-18:11:06-19724,param,,,**.nUsers,10,
General-43-20200224-18:11:06-19724,param,,,**.antenna.timeslot,1ms,
General-43-20200224-18:11:06-19724,param,,,**.antenna.lambda,5ms,
General-43-20200224-18:11:06-19724,param,,,**.antenna.successProbGroup1,0.125,
General-43-20200224-18:11:06-19724,param,,,**.antenna.successProbGroup2,0.25,
General-43-20200224-18:11:06-19724,param,,,**.antenna.successProbGroup3,0.625,
General-43-20200224-18:11:06-19724,param,,,**.antenna.isBinomial,false,
General-46-20200224-18:11:11-22920,runattr,,,configname,General,
General-46-20200224-18:11:11-22920,runattr,,,datetime,20200224-18:11:11,
General-46-20200224-18:11:11-22920,runattr,,,experiment,General,
General-46-20200224-18:11:11-22920,runattr,,,inifile,omnetpp.ini,
General-46-20200224-18:11:11-22920,runattr,,,iterationvars,$0=5ms,
